"Agency Name","State Name [District] Latest available year","Agency ID - NCES Assigned [District] Latest available year","County Name [District] 2013-14","County Number [District] 2013-14","ANSI/FIPS State Code [District] Latest available year","Total Number Operational Schools [Public School] 2013-14","Location Address [District] 2013-14","Location City [District] 2013-14","Location State Abbr [District] 2013-14","Location ZIP [District] 2013-14","Location ZIP4 [District] 2013-14","Mailing Address [District] 2013-14","Mailing City [District] 2013-14","Mailing State Abbr [District] 2013-14","Mailing ZIP [District] 2013-14","Mailing ZIP4 [District] 2013-14","Phone Number [District] 2013-14","Agency Type [District] 2013-14","Latitude [District] 2013-14","Longitude [District] 2013-14","State Agency ID [District] 2013-14","Lowest Grade Offered [District] 2013-14","Highest Grade Offered [District] 2013-14","State Name [District] 2013-14","Total Students (UG, PK-12) [District] 2013-14"
"CANAAN COMMUNITY ACADEMY","Indiana","1800129","JEFFERSON COUNTY","18077","18","1","8775 NORTH CANAAN MAIN ST","CANAAN","IN ","47224","","8775 N CANAAN MAIN ST POB 20","CANAAN","IN ","47224","","8128390003","7-Charter school agency","38.866000","-85.296800","9725","Kindergarten","6th Grade","Indiana","114"
"CANNELTON CITY SCHOOLS","Indiana","1801170","PERRY COUNTY","18123","18","1","109 SOUTH THIRD ST","CANNELTON","IN ","47520","","109 S THIRD ST","CANNELTON","IN ","47520","","8125472637","1-Local school district","37.910800","-86.744700","6340","Prekindergarten","12th Grade","Indiana","247"
"CAREER ACADEMY AT SOUTH BEND","Indiana","1800101","ST. JOSEPH COUNTY","18141","18","1","3801 CRESCENT CIRCLE","SOUTH BEND","IN ","46628","","3801 CRESCENT CIR","SOUTH BEND","IN ","46628","","5742999800","7-Charter school agency","41.727700","-86.331800","9880","7th Grade","12th Grade","Indiana","380"
"CARMEL CLAY SCHOOLS","Indiana","1801200","HAMILTON COUNTY","18057","18","15","5201 EAST MAIN ST","CARMEL","IN ","46033","9311","5201 E MAIN ST","CARMEL","IN ","46033","9311","3178449961","1-Local school district","39.977900","-86.081400","3060","Prekindergarten","12th Grade","Indiana","15912"
"CARPE DIEM - MERIDIAN CAMPUS","Indiana","1800125","MARION COUNTY","18097","18","1","2220 NORTH MERIDIAN ST","INDIANAPOLIS","IN ","46208","","2220 N MERIDIAN ST","INDIANAPOLIS","IN ","46208","","3179217497","7-Charter school agency","39.797800","-86.157500","9755","6th Grade","12th Grade","Indiana","171"
"CARROLL CONSOLIDATED SCH CORP","Indiana","1801290","CARROLL COUNTY","18015","18","2","2 SOUTH 3RD ST","FLORA","IN ","46929","1397","2 S 3RD ST","FLORA","IN ","46929","1397","5749674113","1-Local school district","40.547900","-86.515200","0750","Prekindergarten","12th Grade","Indiana","1120"
"CASTON SCHOOL CORPORATION","Indiana","1801410","FULTON COUNTY","18049","18","2","9815 SR 25 SOUTH","FULTON","IN ","46931","0008","BOX 8","FULTON","IN ","46931","0008","5748572035","1-Local school district","40.947300","-86.262900","2650","Prekindergarten","12th Grade","Indiana","764"
"CENTER GROVE COM SCH CORP","Indiana","1801440","JOHNSON COUNTY","18081","18","8","4800 WEST STONES CROSSING RD","GREENWOOD","IN ","46143","9100","4800 W STONES CROSSING RD","GREENWOOD","IN ","46143","9100","3178819326","1-Local school district","39.577300","-86.192000","4205","Kindergarten","12th Grade","Indiana","7735"
"CENTERVILLE-ABINGTON COM SCHS","Indiana","1801560","WAYNE COUNTY","18177","18","4","115 WEST SOUTH ST","CENTERVILLE","IN ","47330","1499","115 W SOUTH ST","CENTERVILLE","IN ","47330","1499","7658553475","1-Local school district","39.814700","-84.999100","8360","Prekindergarten","12th Grade","Indiana","1776"
"CENTRAL IN EDUCATION SERVICE CTR","Indiana","1800140","MARION COUNTY","18097","18","0","6036 LAKESIDE BLVD BLDG A","INDIANAPOLIS","IN ","46278","2512","6036 LAKESIDE BLVD - BLDG A","INDIANAPOLIS","IN ","46278","2512","3177595547","4-Regional education services agency","39.875900","-86.268300","9580","†","†","Indiana","†"
"CENTRAL NINE CAREER CENTER","Indiana","1801470","JOHNSON COUNTY","18081","18","1","1999 US 31 SOUTH","GREENWOOD","IN ","46143","","1999 US 31 S","GREENWOOD","IN ","46143","","3178884401","4-Regional education services agency","39.588100","-86.101000","4265","9th Grade","12th Grade","Indiana","0"
"CENTRAL NOBLE COM SCHOOL CORP","Indiana","1801710","NOBLE COUNTY","18113","18","4","200 EAST MAIN ST","ALBION","IN ","46701","1299","200 E MAIN ST","ALBION","IN ","46701","1299","2606362175","1-Local school district","41.395600","-85.422300","6055","Kindergarten","12th Grade","Indiana","1267"
"CHALLENGE FOUNDATION ACADEMY","Indiana","1800057","MARION COUNTY","18097","18","1","3980 MEADOWS DR","INDIANAPOLIS","IN ","46205","3114","3980 MEADOWS DR","INDIANAPOLIS","IN ","46205","3114","3178033182","7-Charter school agency","39.830200","-86.112500","9645","Kindergarten","5th Grade","Indiana","482"
"CHARLES A TINDLEY ACCELERATED SCHL","Indiana","1800045","MARION COUNTY","18097","18","1","3960 MEADOWS DR","INDIANAPOLIS","IN ","46205","","3960 MEADOWS DR","INDIANAPOLIS","IN ","46205","","3175451745","7-Charter school agency","39.829500","-86.114300","9445","9th Grade","12th Grade","Indiana","218"
"CHARTER SCHOOL OF THE DUNES","Indiana","1800027","LAKE COUNTY","18089","18","1","860 NORTH LAKE ST","GARY","IN ","46403","","860 N LAKE ST","GARY","IN ","46403","","2199399690","7-Charter school agency","41.618400","-87.268700","9310","Kindergarten","11th Grade","Indiana","534"
"CHRISTEL HOUSE ACADEMY SOUTH","Indiana","1800018","MARION COUNTY","18097","18","1","2717 SOUTH EAST ST","INDIANAPOLIS","IN ","46225","","2717 S EAST ST","INDIANAPOLIS","IN ","46225","","3177834690","7-Charter school agency","39.726400","-86.148000","9380","Kindergarten","12th Grade","Indiana","645"
"CHRISTEL HOUSE DORS SOUTH","Indiana","1800122","MARION COUNTY","18097","18","1","2717 SOUTH EAST ST","INDIANAPOLIS","IN ","46225","","2717 S EAST ST","INDIANAPOLIS","IN ","46225","","3177834690","7-Charter school agency","39.726400","-86.148000","9385","9th Grade","12th Grade","Indiana","180"
"CLARK-PLEASANT COM SCHOOL CORP","Indiana","1801890","JOHNSON COUNTY","18081","18","8","50 CENTER ST","WHITELAND","IN ","46184","1698","50 CENTER ST","WHITELAND","IN ","46184","1698","3175357579","1-Local school district","39.550700","-86.080000","4145","Prekindergarten","12th Grade","Indiana","6277"
"CLARKSVILLE COM SCHOOL CORP","Indiana","1801920","CLARK COUNTY","18019","18","3","200 ETTEL LN","CLARKSVILLE","IN ","47129","1898","200 ETTEL LN","CLARKSVILLE","IN ","47129","1898","8122827753","1-Local school district","38.300200","-85.769200","1000","Prekindergarten","12th Grade","Indiana","1327"
"CLAY COMMUNITY SCHOOLS","Indiana","1800840","CLAY COUNTY","18021","18","10","1013 SOUTH FOREST AVE","BRAZIL","IN ","47834","0169","1013 S FOREST AVE","BRAZIL","IN ","47834","0169","8124434461","1-Local school district","39.513300","-87.126200","1125","Prekindergarten","12th Grade","Indiana","4362"
"CLINTON CENTRAL SCHOOL CORP","Indiana","1802130","CLINTON COUNTY","18023","18","2","725 NORTH SR 29","MICHIGANTOWN","IN ","46057","0118","BOX 118","MICHIGANTOWN","IN ","46057","0118","7652492515","1-Local school district","40.297000","-86.391500","1150","Prekindergarten","12th Grade","Indiana","1047"
"CLINTON PRAIRIE SCHOOL CORP","Indiana","1802160","CLINTON COUNTY","18023","18","2","4431 WEST OLD SR 28","FRANKFORT","IN ","46041","7129","4431 W OLD SR 28","FRANKFORT","IN ","46041","7129","7656591339","1-Local school district","40.277300","-86.592200","1160","Kindergarten","12th Grade","Indiana","1054"
"CLOVERDALE COMMUNITY SCHOOLS","Indiana","1802220","PUTNAM COUNTY","18133","18","3","310 EAST LOGAN","CLOVERDALE","IN ","46120","9803","310 E LOGAN","CLOVERDALE","IN ","46120","9803","7657954664","1-Local school district","39.510300","-86.787700","6750","Prekindergarten","12th Grade","Indiana","1228"
"COMMUNITY MONTESSORI INC","Indiana","1800011","FLOYD COUNTY","18043","18","1","4102 ST JOSEPH RD","NEW ALBANY","IN ","47150","","4102 ST JOSEPH RD","NEW ALBANY","IN ","47150","","8129481000","7-Charter school agency","38.353700","-85.810000","9320","Kindergarten","12th Grade","Indiana","526"
"COMMUNITY SCHOOLS OF FRANKFORT","Indiana","1803660","CLINTON COUNTY","18023","18","5","2400 EAST WABASH AVE","FRANKFORT","IN ","46041","9421","2400 E WABASH AVE","FRANKFORT","IN ","46041","9421","7656545585","1-Local school district","40.278900","-86.480600","1170","Prekindergarten","12th Grade","Indiana","3183"
"CONCORD COMMUNITY SCHOOLS","Indiana","1802400","ELKHART COUNTY","18039","18","7","59040 MINUTEMAN WAY","ELKHART","IN ","46517","3499","59040 MINUTEMAN WAY","ELKHART","IN ","46517","3499","5748755161","1-Local school district","41.636500","-85.927400","2270","Kindergarten","12th Grade","Indiana","5186"
"COVERED BRIDGE SPEC ED DIST","Indiana","1802420","VIGO COUNTY","18167","18","1","1320 WALNUT ST","TERRE HAUTE","IN ","47807","3931","1320 WALNUT ST","TERRE HAUTE","IN ","47807","3931","8124624030","4-Regional education services agency","39.464700","-87.397300","8035","Prekindergarten","12th Grade","Indiana","0"
"COVINGTON COMMUNITY SCH CORP","Indiana","1802430","FOUNTAIN COUNTY","18045","18","3","601 MARKET ST","COVINGTON","IN ","47932","0225","601 MARKET ST","COVINGTON","IN ","47932","0225","7657934877","1-Local school district","40.143900","-87.395000","2440","Prekindergarten","12th Grade","Indiana","985"
"COWAN COMMUNITY SCHOOL CORP","Indiana","1807020","DELAWARE COUNTY","18035","18","2","9401 SOUTH NOTTINGHAM","MUNCIE","IN ","47302","9419","9401 S NOTTINGHAM","MUNCIE","IN ","47302","9419","7652894866","1-Local school district","40.107300","-85.392500","1900","Kindergarten","12th Grade","Indiana","751"
"CRAWFORD CO COM SCHOOL CORP","Indiana","1802440","CRAWFORD COUNTY","18025","18","6","5805 EAST ADMINISTRATION RD","MARENGO","IN ","47140","8415","5805 E ADMINISTRATION RD","MARENGO","IN ","47140","8415","8123652135","1-Local school district","38.321800","-86.354200","1300","Prekindergarten","12th Grade","Indiana","1578"
"CRAWFORDSVILLE COM SCHOOLS","Indiana","1802460","MONTGOMERY COUNTY","18107","18","5","1000 FAIRVIEW AVE","CRAWFORDSVILLE","IN ","47933","1511","1000 FAIRVIEW AVE","CRAWFORDSVILLE","IN ","47933","1511","7653622342","1-Local school district","40.045400","-86.888900","5855","Prekindergarten","12th Grade","Indiana","2325"
"CROTHERSVILLE COMMUNITY SCHOOLS","Indiana","1812060","JACKSON COUNTY","18071","18","2","201 SOUTH PRESTON ST","CROTHERSVILLE","IN ","47229","1299","201 S PRESTON ST","CROTHERSVILLE","IN ","47229","1299","8127932601","1-Local school district","38.796300","-85.836400","3710","Prekindergarten","12th Grade","Indiana","545"
"CROWN POINT COMMUNITY SCH CORP","Indiana","1802490","LAKE COUNTY","18089","18","10","200 EAST NORTH ST","CROWN POINT","IN ","46307","4078","200 E NORTH ST","CROWN POINT","IN ","46307","4078","2196633371","1-Local school district","41.420300","-87.363100","4660","Prekindergarten","12th Grade","Indiana","8013"
"CULVER COMMUNITY SCHOOLS CORP","Indiana","1802520","MARSHALL COUNTY","18099","18","3","700 SCHOOL ST","CULVER","IN ","46511","0231","PO BOX 231","CULVER","IN ","46511","0231","5748423364","1-Local school district","41.222700","-86.424200","5455","Kindergarten","12th Grade","Indiana","881"
"DALEVILLE COMMUNITY SCHOOLS","Indiana","1809840","DELAWARE COUNTY","18035","18","2","14300 WEST 2ND ST","DALEVILLE","IN ","47334","9125","14300 W 2ND ST","DALEVILLE","IN ","47334","9125","7653783329","1-Local school district","40.119700","-85.555300","1940","Kindergarten","12th Grade","Indiana","835"
"DAMAR CHARTER ACADEMY","Indiana","1800108","MARION COUNTY","18097","18","1","5125 DECATUR BLVD","INDIANAPOLIS","IN ","46241","","5125 DECATUR BLVD - SUITE D","INDIANAPOLIS","IN ","46241","","3175487210","7-Charter school agency","39.688100","-86.286900","9920","Kindergarten","12th Grade","Indiana","160"
"DANVILLE COMMUNITY SCHOOL CORP","Indiana","1802550","HENDRICKS COUNTY","18063","18","4","200 WARRIOR WAY","DANVILLE","IN ","46122","0469","200 WARRIOR WAY","DANVILLE","IN ","46122","0469","3177452212","1-Local school district","39.759000","-86.542300","3325","Prekindergarten","12th Grade","Indiana","2579"
"DAVIESS-MARTIN SPECIAL ED COOP","Indiana","1802580","DAVIESS COUNTY","18027","18","0","9 WEST MAIN ST","WASHINGTON","IN ","47501","0637","PO BOX 637","WASHINGTON","IN ","47501","0637","8122541530","4-Regional education services agency","38.656900","-87.175600","1440","Kindergarten","12th Grade","Indiana","0"
"DECATUR COUNTY COM SCHOOLS","Indiana","1802610","DECATUR COUNTY","18031","18","4","2020 NORTH MONTGOMERY RD","GREENSBURG","IN ","47240","9054","2020 N MONTGOMERY RD","GREENSBURG","IN ","47240","9054","8126634595","1-Local school district","39.357600","-85.469500","1655","Prekindergarten","12th Grade","Indiana","2132"
"DEKALB CO CTL UNITED SCH DIST","Indiana","1801590","DEKALB COUNTY","18033","18","6","3326 CR 427","WATERLOO","IN ","46793","9532","3326 CR 427","WATERLOO","IN ","46793","9532","2609201011","1-Local school district","41.410300","-85.035800","1835","Prekindergarten","12th Grade","Indiana","3717"
"DEKALB CO EASTERN COM SCH DIST","Indiana","1803060","DEKALB COUNTY","18033","18","5","300 EAST WASHINGTON ST","BUTLER","IN ","46721","1119","300 E WASHINGTON ST","BUTLER","IN ","46721","1119","2608682125","1-Local school district","41.431500","-84.869000","1805","Kindergarten","12th Grade","Indiana","1375"
"DELAWARE COMMUNITY SCHOOL CORP","Indiana","1802660","DELAWARE COUNTY","18035","18","5","7821 SR 3 NORTH","MUNCIE","IN ","47303","9803","7821 SR 3 N","MUNCIE","IN ","47303","9803","7652845074","1-Local school district","40.260400","-85.368600","1875","Kindergarten","12th Grade","Indiana","2577"
"DELPHI COMMUNITY SCHOOL CORP","Indiana","1802700","CARROLL COUNTY","18015","18","3","501 ARMORY RD","DELPHI","IN ","46923","1999","501 ARMORY RD","DELPHI","IN ","46923","1999","7655642100","1-Local school district","40.576400","-86.668500","0755","Prekindergarten","12th Grade","Indiana","1504"
"DISCOVERY CHARTER SCHOOL","Indiana","1800088","PORTER COUNTY","18127","18","1","800 CANONIE DR","PORTER","IN ","46304","","800 CANONIE DR","PORTER","IN ","46304","","3176952998","7-Charter school agency","41.639000","-87.052200","9870","Kindergarten","8th Grade","Indiana","493"
"DR ROBERT H FAULKNER ACADEMY","Indiana","1800074","GRANT COUNTY","18053","18","1","1111 WEST 2ND ST","MARION","IN ","46952","","1111 W 2ND ST","MARION","IN ","46952","","7656629910","7-Charter school agency","40.559500","-85.672000","9795","Kindergarten","6th Grade","Indiana","189"
"DUNELAND SCHOOL CORPORATION","Indiana","1802800","PORTER COUNTY","18127","18","9","601 WEST MORGAN AVE","CHESTERTON","IN ","46304","2205","601 W MORGAN AVE","CHESTERTON","IN ","46304","2205","2199833600","1-Local school district","41.608900","-87.061400","6470","Kindergarten","12th Grade","Indiana","5901"
"EAST ALLEN COUNTY SCHOOLS","Indiana","1802850","ALLEN COUNTY","18003","18","16","1240 SR 930 EAST","NEW HAVEN","IN ","46774","1732","1240 SR 930 E","NEW HAVEN","IN ","46774","1732","2604460100","1-Local school district","41.067000","-85.011700","0255","Prekindergarten","12th Grade","Indiana","9062"
"EAST CENTRAL EDUCATION SERVICE CTR","Indiana","1800070","FAYETTE COUNTY","18041","18","0","1601 INDIANA AVE","CONNERSVILLE","IN ","47331","2815","1601 INDIANA AVE","CONNERSVILLE","IN ","47331","2815","7658251247","4-Regional education services agency","39.652700","-85.133600","9530","†","†","Indiana","†"
"EAST CHICAGO LIGHTHOUSE CHARTER","Indiana","1800054","LAKE COUNTY","18089","18","1","3916 PULASKI ST","EAST CHICAGO","IN ","46312","","3916 PULASKI ST","EAST CHICAGO","IN ","46312","","2193787451","7-Charter school agency","41.642400","-87.443800","9595","Kindergarten","7th Grade","Indiana","429"
"EAST CHICAGO URBAN ENTERPRISE ACAD","Indiana","1800048","LAKE COUNTY","18089","18","1","1402 EAST CHICAGO AVE","EAST CHICAGO","IN ","46312","","1402 E CHICAGO AVE","EAST CHICAGO","IN ","46312","","2193923650","7-Charter school agency","41.629400","-87.454300","9555","Kindergarten","8th Grade","Indiana","422"
"EAST GIBSON SCHOOL CORPORATION","Indiana","1802940","GIBSON COUNTY","18051","18","5","941 SOUTH FRANKLIN ST","OAKLAND CITY","IN ","47660","1819","941 S FRANKLIN ST","OAKLAND CITY","IN ","47660","1819","8127494755","1-Local school district","38.330800","-87.350800","2725","Prekindergarten","12th Grade","Indiana","926"
"EAST NOBLE SCHOOL CORP","Indiana","1802970","NOBLE COUNTY","18113","18","7","126 WEST RUSH ST","KENDALLVILLE","IN ","46755","1740","126 W RUSH ST","KENDALLVILLE","IN ","46755","1740","2603472502","1-Local school district","41.441200","-85.266300","6060","Prekindergarten","12th Grade","Indiana","3788"
"EAST PORTER COUNTY SCHOOL CORP","Indiana","1809000","PORTER COUNTY","18127","18","6","502 EAST COLLEGE AVE","KOUTS","IN ","46347","","502 E COLLEGE AVE - PO BOX 370","KOUTS","IN ","46347","","2197662214","1-Local school district","41.314600","-87.021100","6510","Kindergarten","12th Grade","Indiana","2459"
